id,filtered_words,features,label_index
R129,board medical relate one. still program week street space. experts discuss ongoing developments election.,"(10000,[573,988,1098,2466,3556,3614,3684,3712,4506,4687,5122,7454,8268,9462],[3.914021008090819,4.42484663185681,3.577548771469606,5.523458920524919,2.8844015909096608,0.6753425559264385,4.607168188650764,3.914021008090819,0.691153161953081,0.691153161953081,4.42484663185681,3.914021008090819,3.383392757028649,0.691153161953081])",1.0
R227,require foreign defense candidate dream type. store call network system find million this. activity carry ago agree phone fine choose. experts discuss ongoing developments climate change.,"(10000,[454,821,1626,1896,2059,2366,3543,3614,3996,4333,4358,4506,4687,4963,5146,6206,6431,6925,7184,7510,8110,8449,8651,9152,9462,9700],[3.5085558999826545,2.849310271098391,4.019381523748645,4.270695952029551,2.661258039595451,5.523458920524919,4.270695952029551,0.6753425559264385,4.607168188650764,4.607168188650764,3.7316994512968646,0.691153161953081,0.691153161953081,5.117993812416755,3.914021008090819,4.607168188650764,4.137164559405029,3.914021008090819,4.019381523748645,4.42484663185681,4.607168188650764,4.42484663185681,4.019381523748645,4.270695952029551,0.691153161953081,4.830311739964974])",1.0
F231,list deep drive statement support. soon whose water never notice treat reflect senior. — shocking claims aliens surface internet.,"(10000,[281,503,650,659,1041,1525,1762,2589,5321,5850,6325,7281,7936,8338,8438,8728,8750,9539,9817],[3.7316994512968646,0.691153161953081,2.958509563063383,5.523458920524919,3.8187108282864943,4.019381523748645,4.607168188650764,4.270695952029551,4.019381523748645,0.691153161953081,4.607168188650764,0.6832166123573445,0.691153161953081,0.691153161953081,4.830311739964974,4.137164559405029,3.914021008090819,4.830311739964974,3.6516567436233283])",0.0
R066,success citizen three information ever sit response. seek open. experts discuss ongoing developments policy.,"(10000,[8,171,1868,3614,4506,4687,5594,5925,6944,6946,7381,8190,9462,9828],[4.019381523748645,4.019381523748645,4.830311739964974,0.6753425559264385,0.691153161953081,0.691153161953081,4.137164559405029,4.137164559405029,2.849310271098391,4.019381523748645,4.607168188650764,4.137164559405029,0.691153161953081,3.8187108282864943])",1.0
F095,change perform image design. half society year red change start another while. see local participant glass. — shocking claims mind control surface internet.,"(10000,[52,228,327,387,503,1098,1208,1780,2996,3184,5303,5354,5396,5850,7281,7425,7936,8166,8338,8391,8899,9432],[4.137164559405029,3.8187108282864943,4.270695952029551,8.84969326371362,0.691153161953081,3.577548771469606,2.8844015909096608,4.137164559405029,3.172083663361442,2.849310271098391,4.270695952029551,4.42484663185681,3.914021008090819,0.691153161953081,0.6832166123573445,5.117993812416755,0.691153161953081,4.607168188650764,0.691153161953081,5.117993812416755,4.137164559405029,3.914021008090819])",0.0
R174,film capital media physical ready. sing cut on. senior hit season lawyer offer information class house. experts discuss ongoing developments policy.,"(10000,[1206,1209,2358,2958,3614,3756,3978,4007,4144,4506,4687,5003,5611,6451,6541,6944,8190,8252,8649,9021,9462],[4.019381523748645,3.8187108282864943,4.137164559405029,3.8187108282864943,0.6753425559264385,4.607168188650764,5.117993812416755,4.42484663185681,4.270695952029551,0.691153161953081,0.691153161953081,4.270695952029551,5.117993812416755,3.914021008090819,4.270695952029551,2.849310271098391,4.137164559405029,3.914021008090819,4.019381523748645,4.270695952029551,0.691153161953081])",1.0
R201,make may need also sort kind. phone position report maybe office. heavy exactly month southern. experts discuss ongoing developments public health.,"(10000,[1339,1417,1626,1770,2096,2784,3525,3614,3792,4506,4687,4818,5720,5741,6219,6505,6537,7765,8949,9160,9462],[3.914021008090819,4.607168188650764,4.019381523748645,2.958509563063383,4.270695952029551,4.830311739964974,4.270695952029551,0.6753425559264385,4.137164559405029,0.691153161953081,0.691153161953081,4.270695952029551,4.42484663185681,4.42484663185681,3.125563647726549,4.270695952029551,4.42484663185681,4.830311739964974,4.270695952029551,4.830311739964974,0.691153161953081])",1.0
R072,represent character main open responsibility. personal station school work manager physical. experts discuss ongoing developments education.,"(10000,[1116,1637,1652,2523,2679,3614,4506,4687,4867,5047,5783,7939,8415,8717,9462,9527],[5.117993812416755,4.42484663185681,3.577548771469606,5.523458920524919,4.137164559405029,0.6753425559264385,0.691153161953081,0.691153161953081,4.830311739964974,2.7200985396183848,4.270695952029551,4.137164559405029,4.42484663185681,3.8187108282864943,0.691153161953081,3.8187108282864943])",1.0
R064,agency board wall yeah situation not. study structure scientist. wide term woman cost affect tax interesting. experts discuss ongoing developments research.,"(10000,[109,765,2188,2836,2996,3136,3249,3614,4224,4490,4506,4563,4687,6055,6404,6587,7066,7454,9121,9166,9462],[4.607168188650764,4.42484663185681,4.270695952029551,4.137164559405029,3.172083663361442,3.914021008090819,3.577548771469606,0.6753425559264385,4.607168188650764,4.270695952029551,0.691153161953081,3.7316994512968646,0.691153161953081,4.270695952029551,4.137164559405029,4.270695952029551,2.920769235080536,3.914021008090819,4.270695952029551,4.607168188650764,0.691153161953081])",1.0
F037,reach expert small visit truth director drop. — shocking claims miracle drug surface internet.,"(10000,[222,503,698,914,1256,1853,2069,5850,7281,7860,7936,8338,8386,8852],[3.5085558999826545,0.691153161953081,4.019381523748645,4.137164559405029,3.125563647726549,3.914021008090819,3.8187108282864943,0.691153161953081,0.6832166123573445,2.958509563063383,0.691153161953081,0.691153161953081,3.7316994512968646,5.523458920524919])",0.0
