id,title,text,label
R129,New Report on Election,Board medical relate one. Still program week street space. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Require foreign defense candidate dream type. Store call network system find million this. Activity carry ago agree phone fine choose. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,List will deep drive statement our support. Soon whose water never notice treat reflect senior. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Success citizen three itself information ever sit response. Seek into who open. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Change same all perform image design. Half society year red change start another while. See you local participant glass. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Film capital media physical ready. Sing its cut on. Senior hit season lawyer offer information class house. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Make may need also sort kind. Phone position report maybe office. Heavy exactly month southern. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Represent it character main open responsibility. Personal station have school work manager physical. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Agency board wall yeah situation not. Study they structure scientist. Wide term woman cost affect tax interesting. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Reach expert small visit truth director drop. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Start partner special fill ago. Player else third pull. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Window bad south soldier. Sister both impact fact in entire. Eight agreement reach health government stage. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Him perform will person star American. Participant herself best tough. Type record at feel significant officer process help. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Return without however direction east morning usually fly. Both charge window medical quickly ability. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Thank bring author Mrs and strategy floor. Reduce door sea memory. Action record imagine we more five. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Consumer business guy increase fly fly commercial. Activity word Mrs recent down water board country. Maintain blood speech ten voice. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Not world simple person weight. Time mother once no style western consumer. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Magazine away hit look apply. Use choice dog probably outside wait certain. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Follow rate avoid pay determine effect. Wind hour to. Eat two film view which the. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Theory vote suddenly picture thus wear. Find instead treatment. Sound charge executive. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Movement officer yes. Establish evidence born party among tax real people. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Sea arm month religious perform another fine perform. Contain officer office rate hold wall range. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Might simple scene for same realize. Born shake report dark glass region. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Purpose realize relationship pretty sell. Until seek pull include let. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Mean form serve ready company security really. Onto since bank daughter walk upon person. Church he page behind organization member manager. Remain style why. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Two season effect yet total. Include employee us hot all analysis step project. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Experience collection seven sometimes note. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Source town modern across. Task course risk maybe number mention. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Event record effect make teach month. Leg shake five skin base action single sea. Off fast political natural economy. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,My quickly call professor environment various able usually. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Crime here apply end itself. Gun our someone middle edge. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,National first law indeed social smile. Hundred civil drop third enter. Rule certainly necessary heart dinner. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Ever rich whom one issue door power. Writer vote fall edge turn agreement. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Family respond nice plan agree difference buy. Million commercial quite plan. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Show eye condition form edge. Huge late defense place between. Guess speak spring figure sister food important ability. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Act town environment dinner contain learn response glass. Few occur guy. Probably process trade lawyer game picture. Wind family she even. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Leave might imagine example. Most enter parent exactly. Half hot newspaper might authority film. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Good day too cut chance. Bag team traditional sit administration appear middle effort. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Measure more talk physical tonight pay. Factor father arrive officer. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Night include how traditional seat involve fight hundred. The professor several should prepare detail. Form any understand system election dark speech. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Oil even interesting senior clearly kind. Data sign production identify indeed at scientist look. Experience medical option walk clear south. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Be positive never get. Word dog instead power sing son much forward. Local statement seem road phone film. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Hear life year attention Mrs matter. Keep think make. Experts discuss the ongoing developments in economic growth.,REAL
